HTML/CSS,60.73,2979
JavaScript,60.51,2968
Python,56.57,2775
SQL,35.29,1731
Java,35.17,1725
C++,31.11,1526
C,30.58,1500
Bash/Shell (all shells),22.14,1086
TypeScript,21.18,1039
C#,20.63,1012
PHP,15.27,749
Rust,10.95,537
PowerShell,9.87,484
Assembly,7.77,381
Lua,6.97,342
Kotlin,6.67,327
Go,6.18,303
Dart,5.97,293
MATLAB,5.42,266
R,4.53,222
Visual Basic (.Net),3.87,190
Ruby,2.55,125
Haskell,2.51,123
GDScript,2.49,122
Swift,2.47,121
VBA,2.26,111
Prolog,1.35,66
Lisp,1.24,61
Solidity,1.18,58
Ada,1.16,57
Delphi,1,49
Julia,0.98,48
Elixir,0.86,42
Fortran,0.77,38
Objective-C,0.77,38
Scala,0.77,38
Zig,0.75,37
OCaml,0.73,36
Perl,0.65,32
Clojure,0.63,31
F#,0.63,31
Cobol,0.61,30
Groovy,0.57,28
APL,0.55,27
SAS,0.55,27
Apex,0.49,24
Erlang,0.49,24
Nim,0.41,20
Crystal,0.37,18
Flow,0.27,13
Raku,0.16,8
